min_support,PDO,max_rules,calibrator,acc,precision,recall,f1,auc,brier,objective
0.005,100,None,sigmoid,0.968384074941452,0.9846153846153847,0.9642184557438794,0.9743101807802094,0.9943910957186919,0.02081897832760633,0.8787450031908052
10.0,50,None,sigmoid,0.9672131147540983,0.9808795411089866,0.9661016949152542,0.9734345351043643,0.994359028178622,0.0210404040858156,0.8788615926176695
10.0,50,None,isotonic,0.9695550351288056,0.9650092081031307,0.9868173258003766,0.9757914338919925,0.9943444520240449,0.021953047673948168,0.8798590954055862
0.005,100,None,isotonic,0.9718969555035128,0.9738317757009346,0.9811676082862524,0.9774859287054409,0.994338621562214,0.021988571440323585,0.8807720585486725
0.005,20,None,sigmoid,0.9695550351288056,0.9846449136276392,0.9661016949152542,0.9752851711026616,0.9943094692530596,0.021118392508056676,0.8789843527017527
10.0,30,None,sigmoid,0.968384074941452,0.9827586206896551,0.9661016949152542,0.9743589743589743,0.9942715712511587,0.02103726845628603,0.8790720199236428
0.01,20,None,isotonic,0.9718969555035128,0.9738317757009346,0.9811676082862524,0.9774859287054409,0.9942657407893278,0.021188848343127818,0.8817436865373277
50.0,20,None,isotonic,0.9707259953161592,0.9773584905660377,0.975517890772128,0.9764373232799246,0.9942628255584125,0.021189557383660577,0.875135511850234
10.0,100,None,sigmoid,0.968384074941452,0.9846153846153847,0.9642184557438794,0.9743101807802094,0.9942365884801736,0.02114769574070067,0.8787756777869239
10.0,100,None,isotonic,0.9707259953161592,0.9737827715355806,0.9792843691148776,0.9765258215962441,0.9941841143236956,0.022242148219782973,0.8803923246313434
10.0,30,None,isotonic,0.968384074941452,0.9632352941176471,0.9868173258003766,0.9748837209302326,0.9941782838618647,0.022037685114673078,0.8794002359416081
10.0,20,None,sigmoid,0.9695550351288056,0.9846449136276392,0.9661016949152542,0.9752851711026616,0.9941491315527102,0.021442111984774595,0.8790118252402023
10.0,20,None,isotonic,0.968384074941452,0.9754716981132076,0.9736346516007532,0.9745523091423186,0.9941083183198941,0.02268331101278082,0.8791017766274875
0.1,10,100.0,sigmoid,0.9590163934426229,0.984375,0.9491525423728814,0.9664429530201343,0.9940529289325007,0.02894983674156203,0.8712779508980665
0.05,10,None,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9940441832397544,0.026393516895015193,0.8712797815102891
0.1,10,None,sigmoid,0.9578454332552693,0.9843444227005871,0.9472693032015066,0.9654510556621881,0.9940179461615155,0.02889940972617276,0.8708633737177947
