Dataset,RulesFrom,Model,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
heart,RF,SLIM,78.68852459016394,77.77777777777779,84.84848484848484,81.15942028985508,78.13852813852814,57.02248022984665,21.311475409836067,86.85064935064936,1.3297808170318604
heart,RF,TREEGAM,85.24590163934425,84.84848484848484,87.5,86.15384615384616,85.12931034482759,70.41053139822809,14.754098360655743,92.34913793103448,9.690288066864014
loan,DT,EBM,95.90163934426229,93.87040280210157,100.0,96.8383017163505,94.49685534591194,91.39953757812565,4.098360655737709,99.47080634563035,5.564352035522461
loan,DT,EBMLASSO,96.4871194379391,94.6524064171123,100.0,97.25274725274726,95.3560371517028,92.66129787513896,3.512880562060894,99.3155037810545,0.7001128196716309
loan,DT,FIGS,95.90163934426229,93.87040280210157,100.0,96.8383017163505,94.49685534591194,91.39953757812565,4.098360655737709,99.47080634563035,4.216114044189453
loan,DT,GAM,96.4871194379391,94.6524064171123,100.0,97.25274725274726,95.3560371517028,92.66129787513896,3.512880562060894,99.31696139651223,0.2128901481628418
loan,DT,SLIM,96.4871194379391,94.6524064171123,100.0,97.25274725274726,95.3560371517028,92.66129787513896,3.512880562060894,95.56068636196675,0.05018210411071777
loan,DT,TREEGAM,95.90163934426229,93.87040280210157,100.0,96.8383017163505,94.49685534591194,91.39953757812565,4.098360655737709,99.47080634563035,4.962889909744263
loan,RF,EBM,97.18969555035129,96.88644688644689,98.69402985074626,97.78188539741221,96.67405895053037,93.97878831714847,2.810304449648715,99.48224678494321,6.69745397567749
loan,RF,EBMLASSO,96.01873536299766,93.98230088495575,100.0,96.8978102189781,94.73684210526316,91.70028740826933,3.9812646370023463,99.43357063312985,6.249767780303955
loan,RF,FIGS,97.42388758782201,97.06959706959707,98.88059701492537,97.96672828096118,96.92457523702244,94.48320592272226,2.576112412177989,99.40099033136207,4.241376161575317
loan,RF,GAM,96.4871194379391,94.6524064171123,100.0,97.25274725274726,95.3560371517028,92.66129787513896,3.512880562060894,98.72400342831156,0.20435214042663574
loan,RF,SLIM,97.42388758782201,97.39292364990689,98.49340866290018,97.94007490636703,97.0795216689114,94.51348672430771,2.576112412177989,98.04533767119693,0.5837662220001221
loan,RF,TREEGAM,96.37002341920375,97.37335834896811,96.82835820895522,97.1000935453695,96.2129212428424,92.25146083480334,3.629976580796257,99.4332582371163,27.422725915908813
magic_gamma,DT,EBM,79.67928496319664,77.34197730956241,96.9918699186992,86.0595130748422,72.4914706736353,54.91904900274067,20.32071503680336,80.63077695509098,1.248223066329956
magic_gamma,DT,EBMLASSO,79.33753943217665,77.23735408560312,96.59367396593674,85.83783783783784,72.06365312646614,53.79087101870261,20.66246056782335,79.63096316178049,0.9695382118225098
magic_gamma,DT,FIGS,79.67928496319664,77.34197730956241,96.9918699186992,86.0595130748422,72.4914706736353,54.91904900274067,20.32071503680336,80.63077695509098,4.017059087753296
magic_gamma,DT,GAM,79.20609884332282,76.78285897025904,97.36415247364152,85.85732165206508,71.55203139377144,53.81266798741427,20.793901156677187,78.7771237408729,0.4049720764160156
magic_gamma,DT,SLIM,79.20609884332282,76.78285897025904,97.36415247364152,85.85732165206508,71.55203139377144,53.81266798741427,20.793901156677187,71.55203139377144,0.13726592063903809
magic_gamma,DT,TREEGAM,79.67928496319664,77.34197730956241,96.9918699186992,86.0595130748422,72.4914706736353,54.91904900274067,20.32071503680336,80.63077695509098,6.154922008514404
magic_gamma,RF,EBM,79.73186119873817,78.19699499165276,95.20325203252033,85.86617781851513,73.3084712543554,54.45506735413949,20.268138801261827,84.62859623015872,4.647618055343628
magic_gamma,RF,EBMLASSO,79.94216614090432,78.43071786310517,95.25547445255475,86.02819996337668,73.48722900505167,54.816802164378096,20.057833859095688,84.53727040516344,7.7537736892700195
